latitude,longitude,elevation,time (IST),temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),windspeed_10m (km/h),winddirection_10m (°),direct_radiation (W/m²),soil_moisture_28_to_100cm (m³/m³),soil_temperature_28_to_100cm (°C),surface_pressure (hPa),wind_gusts_10m (km/h),direct_radiation_instant (W/m²)
20.56239,74.395164,503.0,2023-01-01T00:00,15.6,69.0,0.0,6.2,291.0,0.0,0.305,24.1,958.9,11.2,0.0
20.56239,74.395164,503.0,2023-01-01T01:00,14.9,72.0,0.0,6.7,286.0,0.0,0.305,24.1,958.6,9.0,0.0
20.56239,74.395164,503.0,2023-01-01T02:00,14.5,74.0,0.0,4.7,279.0,0.0,0.305,24.2,958.3,8.6,0.0
20.56239,74.395164,503.0,2023-01-01T03:00,14.1,78.0,0.0,3.6,270.0,0.0,0.305,24.1,958.0,7.2,0.0
20.56239,74.395164,503.0,2023-01-01T04:00,13.5,82.0,0.0,2.9,263.0,0.0,0.305,24.1,958.0,6.5,0.0
20.56239,74.395164,503.0,2023-01-01T05:00,13.2,86.0,0.0,2.2,261.0,0.0,0.308,24.1,958.5,5.8,0.0
20.56239,74.395164,503.0,2023-01-01T06:00,13.2,86.0,0.0,2.9,270.0,0.0,0.308,24.1,959.2,5.8,0.0
20.56239,74.395164,503.0,2023-01-01T07:00,13.4,84.0,0.0,3.3,276.0,1.0,0.308,24.1,960.0,6.1,2.6
20.56239,74.395164,503.0,2023-01-01T08:00,17.0,69.0,0.0,2.5,278.0,67.0,0.308,24.1,961.5,8.6,107.2
20.56239,74.395164,503.0,2023-01-01T09:00,19.9,57.0,0.0,2.5,82.0,229.0,0.308,24.1,962.7,11.5,283.6
20.56239,74.395164,503.0,2023-01-01T10:00,22.1,52.0,0.0,6.1,87.0,397.0,0.308,24.1,963.1,18.4,446.9
20.56239,74.395164,503.0,2023-01-01T11:00,24.0,47.0,0.0,7.6,90.0,524.0,0.308,24.1,962.5,21.6,557.2
20.56239,74.395164,503.0,2023-01-01T12:00,25.4,42.0,0.0,7.3,99.0,591.0,0.308,24.1,961.5,22.0,601.4
20.56239,74.395164,503.0,2023-01-01T13:00,26.4,39.0,0.0,5.8,112.0,602.0,0.308,24.1,959.9,21.6,587.9
20.56239,74.395164,503.0,2023-01-01T14:00,27.0,37.0,0.0,3.4,108.0,542.0,0.308,24.1,959.1,19.8,505.3
20.56239,74.395164,503.0,2023-01-01T15:00,27.1,36.0,0.0,3.4,58.0,423.0,0.308,24.1,958.5,15.8,369.7
20.56239,74.395164,503.0,2023-01-01T16:00,26.7,37.0,0.0,5.6,40.0,261.0,0.308,24.1,958.6,14.4,202.3
20.56239,74.395164,503.0,2023-01-01T17:00,25.0,44.0,0.0,7.6,71.0,92.0,0.309,24.1,958.8,14.4,46.4
20.56239,74.395164,503.0,2023-01-01T18:00,22.5,55.0,0.0,13.1,58.0,4.0,0.309,24.1,959.2,22.3,0.0
20.56239,74.395164,503.0,2023-01-01T19:00,21.4,59.0,0.0,10.5,41.0,0.0,0.309,24.1,960.0,22.3,0.0
20.56239,74.395164,503.0,2023-01-01T20:00,20.3,63.0,0.0,9.7,31.0,0.0,0.309,24.1,960.8,19.1,0.0
20.56239,74.395164,503.0,2023-01-01T21:00,18.8,67.0,0.0,6.2,21.0,0.0,0.309,24.1,960.7,16.6,0.0
20.56239,74.395164,503.0,2023-01-01T22:00,17.6,72.0,0.0,9.1,7.0,0.0,0.309,24.1,960.5,11.5,0.0
20.56239,74.395164,503.0,2023-01-01T23:00,17.2,72.0,0.0,8.3,358.0,0.0,0.309,24.1,960.3,10.8,0.0
20.56239,74.395164,503.0,2023-01-02T00:00,17.4,70.0,0.0,6.3,347.0,0.0,0.309,24.1,959.9,9.7,0.0
20.56239,74.395164,503.0,2023-01-02T01:00,15.9,76.0,0.0,6.2,339.0,0.0,0.309,24.1,959.1,7.6,0.0
