time,timezone,temperature_2m,relative_humidity_2m,precipitation,windspeed_10m,winddirection_10m,direct_radiation,soil_moisture_28_to_100cm,soil_temperature_28_to_100cm
2025-02-20T00:00,Asia/Kolkata,25.5,42.0,0.0,8.3,349.0,0.0,0.254,29.1
2025-02-20T01:00,Asia/Kolkata,24.8,48.0,0.0,10.2,350.0,0.0,0.254,29.1
2025-02-20T02:00,Asia/Kolkata,24.4,53.0,0.0,11.5,352.0,0.0,0.254,29.1
2025-02-20T03:00,Asia/Kolkata,24.2,52.0,0.0,11.8,352.0,0.0,0.254,29.1
2025-02-20T04:00,Asia/Kolkata,24.4,47.0,0.0,10.3,359.0,0.0,0.254,29.1
2025-02-20T05:00,Asia/Kolkata,23.9,45.0,0.0,6.4,25.0,0.0,0.254,29.1
2025-02-20T06:00,Asia/Kolkata,22.4,57.0,0.0,6.0,3.0,0.0,0.254,29.1
2025-02-20T07:00,Asia/Kolkata,22.5,55.0,0.0,7.1,7.0,2.0,0.254,29.1
2025-02-20T08:00,Asia/Kolkata,24.5,48.0,0.0,7.5,10.0,79.0,0.254,29.1
2025-02-20T09:00,Asia/Kolkata,27.9,38.0,0.0,6.0,5.0,263.0,0.254,29.1
2025-02-20T10:00,Asia/Kolkata,31.5,28.0,0.0,7.9,1.0,455.0,0.254,29.1
2025-02-20T11:00,Asia/Kolkata,33.6,22.0,0.0,9.2,359.0,609.0,0.254,29.1
2025-02-20T12:00,Asia/Kolkata,34.7,20.0,0.0,10.3,344.0,705.0,0.254,29.1
2025-02-20T13:00,Asia/Kolkata,34.8,24.0,0.0,12.1,320.0,732.0,0.254,29.1
2025-02-20T14:00,Asia/Kolkata,33.6,34.0,0.0,15.9,312.0,685.0,0.254,29.1
2025-02-20T15:00,Asia/Kolkata,33.0,35.0,0.0,17.5,312.0,572.0,0.254,29.1
2025-02-20T16:00,Asia/Kolkata,32.6,35.0,0.0,17.4,316.0,408.0,0.254,29.1
2025-02-20T17:00,Asia/Kolkata,31.4,39.0,0.0,16.2,321.0,215.0,0.254,29.1
2025-02-20T18:00,Asia/Kolkata,29.2,43.0,0.0,16.2,331.0,48.0,0.254,29.1
2025-02-20T19:00,Asia/Kolkata,29.0,41.0,0.0,18.5,341.0,0.0,0.254,29.1
2025-02-20T20:00,Asia/Kolkata,28.9,36.0,0.0,17.5,350.0,0.0,0.254,29.2
2025-02-20T21:00,Asia/Kolkata,28.7,32.0,0.0,16.4,357.0,0.0,0.254,29.2
2025-02-20T22:00,Asia/Kolkata,28.6,30.0,0.0,14.9,9.0,0.0,0.254,29.2
2025-02-20T23:00,Asia/Kolkata,28.4,28.0,0.0,15.6,6.0,0.0,0.254,29.2
2025-02-21T00:00,Asia/Kolkata,28.1,28.0,0.0,14.9,11.0,0.0,0.254,29.2
2025-02-21T01:00,Asia/Kolkata,27.9,29.0,0.0,14.6,16.0,0.0,0.254,29.2
2025-02-21T02:00,Asia/Kolkata,28.1,27.0,0.0,15.9,18.0,0.0,0.254,29.2
2025-02-21T03:00,Asia/Kolkata,27.9,27.0,0.0,13.6,28.0,0.0,0.254,29.2
2025-02-21T04:00,Asia/Kolkata,27.0,28.0,0.0,10.5,37.0,0.0,0.254,29.2
2025-02-21T05:00,Asia/Kolkata,26.3,29.0,0.0,9.7,24.0,0.0,0.254,29.2
2025-02-21T06:00,Asia/Kolkata,24.9,36.0,0.0,8.4,23.0,0.0,0.254,29.2
2025-02-21T07:00,Asia/Kolkata,24.8,37.0,0.0,9.4,32.0,2.0,0.254,29.2
2025-02-21T08:00,Asia/Kolkata,26.5,34.0,0.0,10.3,44.0,81.0,0.254,29.2
2025-02-21T09:00,Asia/Kolkata,29.2,30.0,0.0,8.7,43.0,265.0,0.254,29.2
2025-02-21T10:00,Asia/Kolkata,32.5,25.0,0.0,9.9,44.0,457.0,0.254,29.2
2025-02-21T11:00,Asia/Kolkata,35.2,20.0,0.0,10.2,46.0,610.0,0.254,29.2
2025-02-21T12:00,Asia/Kolkata,36.4,18.0,0.0,6.0,25.0,706.0,0.254,29.2
2025-02-21T13:00,Asia/Kolkata,36.8,18.0,0.0,6.8,318.0,733.0,0.254,29.2
2025-02-21T14:00,Asia/Kolkata,35.5,28.0,0.0,13.7,308.0,688.0,0.254,29.2
2025-02-21T15:00,Asia/Kolkata,34.3,32.0,0.0,16.3,311.0,576.0,0.254,29.2
2025-02-21T16:00,Asia/Kolkata,32.9,37.0,0.0,16.2,313.0,409.0,0.254,29.2
2025-02-21T17:00,Asia/Kolkata,31.6,38.0,0.0,14.9,328.0,214.0,0.254,29.2
2025-02-21T18:00,Asia/Kolkata,30.3,43.0,0.0,13.6,331.0,47.0,0.254,29.2
2025-02-21T19:00,Asia/Kolkata,29.8,43.0,0.0,16.5,338.0,0.0,0.254,29.2
2025-02-21T20:00,Asia/Kolkata,29.6,39.0,0.0,16.9,349.0,0.0,0.254,29.2
2025-02-21T21:00,Asia/Kolkata,29.5,36.0,0.0,14.0,1.0,0.0,0.254,29.3
2025-02-21T22:00,Asia/Kolkata,29.1,35.0,0.0,12.4,17.0,0.0,0.254,29.3
2025-02-21T23:00,Asia/Kolkata,28.9,34.0,0.0,13.7,18.0,0.0,0.254,29.3
2025-02-22T00:00,Asia/Kolkata,28.8,31.0,0.0,14.1,15.0,0.0,0.254,29.3
2025-02-22T01:00,Asia/Kolkata,28.4,29.0,0.0,12.8,16.0,0.0,0.254,29.3
2025-02-22T02:00,Asia/Kolkata,27.7,30.0,0.0,9.9,35.0,0.0,0.254,29.3
2025-02-22T03:00,Asia/Kolkata,27.3,30.0,0.0,9.6,30.0,0.0,0.254,29.3
2025-02-22T04:00,Asia/Kolkata,26.8,31.0,0.0,9.1,18.0,0.0,0.254,29.3
2025-02-22T05:00,Asia/Kolkata,26.1,32.0,0.0,7.6,27.0,0.0,0.254,29.3
2025-02-22T06:00,Asia/Kolkata,24.9,37.0,0.0,6.6,43.0,0.0,0.254,29.3
2025-02-22T07:00,Asia/Kolkata,24.6,38.0,0.0,7.4,51.0,2.0,0.254,29.3
2025-02-22T08:00,Asia/Kolkata,26.1,36.0,0.0,7.3,62.0,83.0,0.254,29.3
2025-02-22T09:00,Asia/Kolkata,28.9,32.0,0.0,4.5,61.0,267.0,0.254,29.3
2025-02-22T10:00,Asia/Kolkata,32.1,27.0,0.0,3.5,55.0,459.0,0.254,29.3
2025-02-22T11:00,Asia/Kolkata,34.3,23.0,0.0,1.8,307.0,613.0,0.254,29.3
2025-02-22T12:00,Asia/Kolkata,35.0,24.0,0.0,5.6,287.0,709.0,0.254,29.3
2025-02-22T13:00,Asia/Kolkata,34.7,27.0,0.0,10.4,288.0,735.0,0.254,29.3
2025-02-22T14:00,Asia/Kolkata,34.1,27.0,0.0,13.6,298.0,690.0,0.254,29.3
2025-02-22T15:00,Asia/Kolkata,33.0,27.0,0.0,14.1,309.0,578.0,0.254,29.4
2025-02-22T16:00,Asia/Kolkata,31.5,39.0,0.0,14.0,314.0,413.0,0.254,29.4
2025-02-22T17:00,Asia/Kolkata,30.3,44.0,0.0,13.5,307.0,215.0,0.254,29.4
2025-02-22T18:00,Asia/Kolkata,28.4,54.0,0.0,17.7,321.0,48.0,0.254,29.4
2025-02-22T19:00,Asia/Kolkata,28.2,56.0,0.0,17.1,322.0,0.0,0.254,29.4
2025-02-22T20:00,Asia/Kolkata,28.5,46.0,0.0,16.3,335.0,0.0,0.254,29.4
2025-02-22T21:00,Asia/Kolkata,28.5,40.0,0.0,11.9,342.0,0.0,0.254,29.4
2025-02-22T22:00,Asia/Kolkata,28.4,36.0,0.0,11.5,343.0,0.0,0.254,29.4
2025-02-22T23:00,Asia/Kolkata,28.1,34.0,0.0,11.4,353.0,0.0,0.254,29.4
2025-02-23T00:00,Asia/Kolkata,27.6,34.0,0.0,10.0,17.0,0.0,0.254,29.4
2025-02-23T01:00,Asia/Kolkata,27.3,33.0,0.0,10.1,27.0,0.0,0.254,29.5
2025-02-23T02:00,Asia/Kolkata,27.0,32.0,0.0,9.4,30.0,0.0,0.254,29.5
2025-02-23T03:00,Asia/Kolkata,26.5,32.0,0.0,9.0,30.0,0.0,0.254,29.5
2025-02-23T04:00,Asia/Kolkata,25.8,33.0,0.0,7.4,34.0,0.0,0.254,29.5
2025-02-23T05:00,Asia/Kolkata,25.0,35.0,0.0,6.2,54.0,0.0,0.254,29.5
2025-02-23T06:00,Asia/Kolkata,23.8,44.0,0.0,5.2,56.0,0.0,0.254,29.5
2025-02-23T07:00,Asia/Kolkata,23.7,46.0,0.0,6.0,49.0,2.0,0.254,29.5
2025-02-23T08:00,Asia/Kolkata,25.6,42.0,0.0,7.2,51.0,85.0,0.254,29.5
2025-02-23T09:00,Asia/Kolkata,28.9,34.0,0.0,5.3,35.0,273.0,0.254,29.5
2025-02-23T10:00,Asia/Kolkata,32.7,26.0,0.0,4.4,32.0,467.0,0.254,29.5
2025-02-23T11:00,Asia/Kolkata,35.0,21.0,0.0,3.1,332.0,622.0,0.253,29.5
2025-02-23T12:00,Asia/Kolkata,35.7,22.0,0.0,5.8,296.0,718.0,0.253,29.5
2025-02-23T13:00,Asia/Kolkata,35.8,26.0,0.0,10.3,293.0,745.0,0.253,29.5
2025-02-23T14:00,Asia/Kolkata,35.8,23.0,0.0,12.2,290.0,696.0,0.253,29.5
2025-02-23T15:00,Asia/Kolkata,34.9,24.0,0.0,13.7,295.0,585.0,0.253,29.5
2025-02-23T16:00,Asia/Kolkata,33.4,29.0,0.0,12.7,301.0,417.0,0.253,29.5
2025-02-23T17:00,Asia/Kolkata,31.6,40.0,0.0,10.1,316.0,220.0,0.253,29.5
2025-02-23T18:00,Asia/Kolkata,30.0,45.0,0.0,10.5,325.0,50.0,0.253,29.5
2025-02-23T19:00,Asia/Kolkata,29.3,48.0,0.0,13.2,328.0,0.0,0.253,29.5
2025-02-23T20:00,Asia/Kolkata,29.2,42.0,0.0,14.1,337.0,0.0,0.253,29.5
2025-02-23T21:00,Asia/Kolkata,29.5,33.0,0.0,14.4,352.0,0.0,0.253,29.6
2025-02-23T22:00,Asia/Kolkata,29.4,30.0,0.0,15.4,353.0,0.0,0.253,29.6
2025-02-23T23:00,Asia/Kolkata,28.9,31.0,0.0,15.4,353.0,0.0,0.253,29.6
2025-02-24T00:00,Asia/Kolkata,27.9,34.0,0.0,11.3,1.0,0.0,0.253,29.6
2025-02-24T01:00,Asia/Kolkata,27.0,35.0,0.0,6.8,32.0,0.0,0.253,29.6
2025-02-24T02:00,Asia/Kolkata,26.3,35.0,0.0,8.0,25.0,0.0,0.253,29.6
2025-02-24T03:00,Asia/Kolkata,25.9,34.0,0.0,8.7,21.0,0.0,0.253,29.6
2025-02-24T04:00,Asia/Kolkata,25.3,34.0,0.0,6.9,39.0,0.0,0.253,29.6
2025-02-24T05:00,Asia/Kolkata,24.7,34.0,0.0,6.7,54.0,0.0,0.253,29.6
2025-02-24T06:00,Asia/Kolkata,24.4,40.0,0.0,9.8,50.0,0.0,0.253,29.6
2025-02-24T07:00,Asia/Kolkata,24.5,39.0,0.0,10.7,44.0,2.0,0.253,29.6
